Condition Name,Title,Priority,CountofAlertPast7days
SQS - Number of Visible Messages increased,Provider . Approximate Age Of Oldest Message . Average > 50.0 for at least 10 minutes on 'rtca-ca-history-queue-prod',critical,2
Transaction database time (Baseline),Datastore/all/average_response_time > 10.5 for at least 10 minutes on 'svc-rtca-history',critical,2
Web transaction database time (Baseline),Datastore/allWeb/average_response_time > 10.5 for at least 10 minutes on 'svc-rtca-history',critical,2
Web transaction time (Baseline),Web response time > 10.5 for at least 10 minutes on 'svc-fraud-assessment',critical,2
Web transaction time (Baseline),Web response time > 22.38721 for at least 10 minutes on 'svc-rtca-history',critical,2
CustomerProducts giving Partial Response with status Code 206,ExternalApiEvent query result is > 1.0 on 'CustomerProducts giving Partial Response with status Code 206',warning,1
CustomerProducts giving Partial Response with status Code 206,ExternalApiEvent query result is > 2.0 on 'CustomerProducts giving Partial Response with status Code 206',critical,1
FICO !=200,svc-credit-assessment query result is > 1.0 on 'FICO !=200',warning,1
Instances Apdex (Low),Apdex < 0.4 for at least 5 minutes on 'svc-fraud-assessment (svc-fraud-assessment-7f5559f9d6-9tqw2)',warning,1
Instances Apdex (Low),Apdex < 0.4 for at least 5 minutes on 'svc-fraud-assessment (svc-fraud-assessment-7f5559f9d6-ggvwd)',warning,1
Instances Error percentage (High),Error percentage > 10% for at least 5 minutes on 'svc-credit-assessment (svc-credit-assessment-7c6cbcdcdf-ghxjm)',critical,1
Instances Error percentage (High),Error percentage > 10% for at least 5 minutes on 'svc-rtca-history (svc-rtca-history-5c96d469bb-b4sf4)',critical,1
Instances Error percentage (High),Error percentage > 5% for at least 5 minutes on 'svc-credit-assessment (svc-credit-assessment-7c6cbcdcdf-ghxjm)',warning,1
Instances Error percentage (High),Error percentage > 5% for at least 5 minutes on 'svc-customer-risk-status (svc-customer-risk-status-66b4cc78f9-sv6m4)',warning,1
Instances Response time (web) (High),Web response time > 3.5 for at least 5 minutes on 'svc-fraud-assessment (svc-fraud-assessment-7f5559f9d6-ggvwd)',warning,1
Instances Response time (web) (High),Web response time > 3.5 for at least 5 minutes on 'svc-fraud-assessment (svc-fraud-assessment-7f5559f9d6-qfc59)',warning,1
Instances Response time (web) (High),Web response time > 4.0 for at least 5 minutes on 'svc-fraud-assessment (svc-fraud-assessment-7f5559f9d6-ggvwd)',critical,1
Instances Response time (web) (High),Web response time > 4.0 for at least 5 minutes on 'svc-fraud-assessment (svc-fraud-assessment-7f5559f9d6-qfc59)',critical,1
PROD RTFA Booking !=200 & !=404,svc-fraud-assessment query result is > 0.0 on 'PROD RTFA Booking !=200 & !=404',warning,1
PROD_COLLECTIONS != 200 && != 404,svc-customer-risk-status query result is = 1.0 on 'PROD_COLLECTIONS != 200 && != 404',warning,1
PROD_CUSTOMERRISK NOT 200,svc-customer-risk-status query result is > 10.0 on 'PROD_CUSTOMERRISK NOT 200',critical,1
PROD_DOWNSTREAM > 10000ms,ExternalApiEvent query result is > 3.0 on 'PROD_DOWNSTREAM > 10000ms',warning,1
PROD_DOWNSTREAM > 10000ms,svc-assets-orders query result is > 3.0 on 'PROD_DOWNSTREAM > 10000ms',warning,1
PROD_LOOKUP NOT 200,svc-credit-assessment query result is > 2.0 on 'PROD_LOOKUP NOT 200',critical,1
RTCA/RTFA_Lambda_default alert policy,RTCA/RTFA_Lambda_default alert policy,warning,1
Web transaction time (Baseline),Web response time > 4.89779 for at least 5 minutes on 'svc-assets-orders',warning,1
